Run,WCSS,Connectivity,Hypervolume
1,97.55877460206504,13.470634920634916,3.2854465899223273
2,99.37599763910578,23.019841269841265,5.719049229210852
3,97.52740545784731,18.89087301587301,4.605944580179396
4,97.57163268490469,13.470634920634916,3.2858796062716085
5,97.69282489424248,17.111904761904757,4.179275788779288
6,103.02084570122855,14.694841269841266,3.7846874376609154
7,101.75788200111808,21.462698412698405,5.459996831262376
8,97.74895154293495,13.773412698412695,3.365841626094979
9,97.80336739032809,13.470634920634916,3.2936836403096046
10,99.59441942339853,23.019841269841265,5.731619316221584
