Run,WCSS,Connectivity,Hypervolume
1,99.46232229240316,21.261904761904763,5.286896059947403
2,98.10168491909408,14.122222222222216,3.463534487004689
3,97.52069492108231,17.111904761904757,4.171912109510821
4,97.76166636474836,13.470634920634916,3.292279292081106
5,97.60890350755727,17.111904761904757,4.175685651838181
6,98.51231829926495,13.470634920634916,3.3175586874869563
7,101.60953455778005,31.567857142857132,8.018988178180514
8,97.88889836511994,10.091666666666665,2.469655331670012
9,99.39705434700537,19.090079365079365,4.743744140348618
10,99.36200700703097,21.457539682539675,5.3301605207253875
