Run,WCSS,Connectivity,Hypervolume
1,98.43313462593028,22.79166666666666,5.608637983373334
2,98.94656550657537,29.39603174603173,7.271590951980262
3,98.54111833098598,13.470634920634916,3.318528574269505
4,97.70366964753151,16.80912698412698,4.105783474801375
5,98.14315128470055,23.014285714285712,5.646736311416178
6,98.43331207098484,29.99484126984126,7.381228928084859
7,98.72642917635943,27.917857142857137,6.890575864925019
8,97.34617873738105,13.773412698412695,3.351972735908492
9,97.4570370822502,17.111904761904757,4.169188842322211
10,98.2121935678037,21.154761904761898,5.1941389276782015
