Run,WCSS,Connectivity,Hypervolume
1,98.54970605299275,31.824999999999985,7.840860987841238
2,100.19922206540653,14.694841269841266,3.6810291590318176
3,97.32122805519113,13.470634920634916,3.2774468328983364
4,113.9788009752728,7.576984126984127,2.159038914505817
5,97.14399584430694,10.743253968253965,2.6091065471159993
6,96.84681266418433,13.470634920634916,3.261470141565881
7,99.26678668114408,15.225396825396816,3.7784405470060944
8,96.96036811905283,13.470634920634916,3.2652943017553318
9,101.23206321340342,13.383730158730152,3.3871565436492688
10,97.00764913290797,13.470634920634916,3.266886564946135
