Run,WCSS,Connectivity,Hypervolume
1,97.63645387460946,17.111904761904757,4.176864249981064
2,100.40382200969904,32.54166666666667,8.168269269747414
3,98.47561388842085,31.478174603174594,7.749581420336278
4,98.20435724745775,13.773412698412695,3.381522852878982
5,100.29572911764622,22.378174603174603,5.611088345368494
6,99.50348151828426,31.824999999999985,7.9167457482984815
7,100.68102570844653,17.501587301587303,4.405194402624341
8,99.69681045593832,20.69920634920635,5.15911212996295
9,101.60148712972,20.17738095238095,5.125129777861983
10,98.21744751747786,13.773412698412695,3.3819735971072826
