Run,WCSS,Connectivity,Hypervolume
1,98.1079777473449,25.37103174603174,6.222751544917172
2,96.98296461398961,13.470634920634916,3.266055274589781
3,97.78153820246044,20.324206349206346,4.968330398924022
4,96.74738496776916,10.091666666666665,2.440855899916021
5,97.05597623233037,13.470634920634916,3.2685140567288644
6,98.87112955837954,17.532142857142855,4.333556919661473
7,97.02505325004185,13.470634920634916,3.2674726762161956
8,96.70251864773144,13.470634920634916,3.256610811523709
9,112.82272448926751,16.115873015873017,4.545591752934673
10,110.85483911113685,15.251190476190464,4.226670666228497
