Run,WCSS,Connectivity,Hypervolume
1,99.71984413724466,16.415873015873007,4.092470746299143
2,99.36331472851371,29.39603174603173,7.302217885375846
3,97.74677435886369,13.773412698412695,3.3657666579581433
4,98.79720539294976,11.046031746031744,2.7282926679743573
5,99.26439845371002,32.72222222222222,8.120379262393802
6,99.78968804358422,25.666666666666657,6.403171649463334
7,97.61959640412621,17.111904761904757,4.176143091407474
8,98.85214520735683,17.111904761904757,4.228871235745678
9,97.83192344093736,13.470634920634916,3.294645310640942
10,104.91704557135611,28.422222222222214,7.4549389603202645
