Run,WCSS,Connectivity,Hypervolume
1,99.02250892418272,22.79166666666666,5.642220039742512
2,98.97943595773754,13.470634920634916,3.3332896160926277
3,98.92700198955659,13.470634920634916,3.3315238189856156
4,99.7339570765297,19.090079365079365,4.759822889960936
5,100.43784169690659,20.324206349206346,5.103298549792129
6,99.40740537344426,19.067460317460313,4.738616893049599
7,115.14737810819844,17.406746031746025,5.01085291737712
8,98.02264436553028,13.773412698412695,3.3752658365904695
9,124.49036698054377,21.562301587301576,6.71074709387085
10,99.02888287114645,13.470634920634916,3.334954819388834
