Run,WCSS,Connectivity,Hypervolume
1,97.61118991463508,13.773412698412695,3.3610980066935263
2,97.69493331176784,10.743253968253965,2.6239036999498944
3,99.4384219552673,13.470634920634916,3.348746698108644
4,98.38433273257047,13.773412698412695,3.3877200444591242
5,97.50147702753138,13.470634920634916,3.283517003151375
6,98.80459505380423,10.091666666666665,2.4927575960449433
7,100.3528109313117,15.225396825396816,3.819778422433107
8,98.31968555961366,13.470634920634916,3.3110714742129477
9,97.87011171240798,14.122222222222216,3.4553586662908526
10,99.17512867458854,16.80912698412698,4.167618328895734
